EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,si_created,fn_created,si_modified,fn_modified,si_entry_mod,fn_entry_mod,si_accessed,fn_accessed,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile,ResidentDataBase64,ResidentDataHex,ResidentDataASCII,A1_SI_Created_LT_FN,A2_SI_Mod_LT_SI_Created,A3_SI_Entry_LT_SI_Created,A4_ZeroSubSec_si_created,A4_ZeroSubSec_si_modified,A5_All_SI_Identical,MethodA_Score,MethodA_Flagged,GroundTruth_Timestomped
27,1,TRUE,11,11,.\$Extend,$RmMetadata,,0,1,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hidden|System,Posix,21:52.4,,21:52.4,,21:52.4,,21:52.4,,0,33561718,258,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
28,1,TRUE,27,1,.\$Extend\$RmMetadata,$Repair,,0,1,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hidden|System,Posix,21:52.4,,21:52.4,,21:52.4,,21:52.4,,0,33561039,257,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
28,1,TRUE,27,1,.\$Extend\$RmMetadata,$Repair:$Config,,8,1,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hidden|System,Posix,21:52.4,,21:52.4,,21:52.4,,21:52.4,,0,33561039,257,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
28,1,TRUE,27,1,.\$Extend\$RmMetadata,$Repair:$Corrupt,,2359296,1,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hidden|System,Posix,21:52.4,,21:52.4,,21:52.4,,21:52.4,,0,33561039,257,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
28,1,TRUE,27,1,.\$Extend\$RmMetadata,$Repair:$Verify,,716800,1,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hidden|System,Posix,21:52.4,,21:52.4,,21:52.4,,21:52.4,,0,33561039,257,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,0
 ------- TRUNCATED -------------------------------------------------------------------------------------- TRUNCATED ---------------------------------------------------------------- TRUNCATED ------------------------------------------------------------------------------- TRUNCATED ------------------------------------------------------------------------------------- TRUNCATED -------------------------------------------------------------------------------------- TRUNCATED -------------------------------------------------------------------------------------- TRUNCATED -------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473763,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,VCREDIST_X64.EXE-9345D069.pf,.pf,26834,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,10:25.5,54:59.5,18:40.7,54:59.5,57:04.9,54:59.5,538632784,2099423546,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473764,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,VCREDIST_X86.EXE-C1456013.pf,.pf,22548,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,10:23.5,54:59.5,18:40.7,54:59.5,57:05.6,54:59.5,538633384,2099423580,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473765,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,VC_REDIST.X64.EXE-CE01C18A.pf,.pf,12328,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,10:25.5,54:59.5,18:40.7,54:59.5,57:06.3,54:59.5,538633984,2099423614,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
473766,1,TRUE,473582,2,.\Research\Data\Artifacts\pre-timestomping_20260514_053711\Prefetch,VC_REDIST.X86.EXE-DA08A16A.pf,.pf,12575,1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Archive,Windows,54:59.5,,10:23.5,54:59.5,18:40.7,54:59.5,57:06.6,54:59.5,538634584,2099423648,2451,,,,C:\Research\Data\Artifacts\post-timestomping_20260514_054724\MFT_raw,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,0
